ParentSKU,Site Id,Year,Month,Category Name ID,Unit,Qty,Price,Net Sales calculated,Cash Discount,Amount to Customer,MRP,Pack Size,Pack Unit Id,State,Zone,Master Category,Size,Rank,Date
F0033,AHMEDABAD,2017,4,0,NO,1621,54,82557,20,93640,80,30,GM,DL,West,3,30gm,4,4/1/2017
F0033,AHMEDABAD,2017,5,0,NO,651,51,31473,21,35760,80,30,GM,DL,West,3,30gm,4,5/1/2017
F0033,AHMEDABAD,2017,6,0,NO,457,46,19580,12,22293,70,30,GM,DL,West,3,30gm,4,6/1/2017
F0033,AHMEDABAD,2017,7,0,NO,1985,41,78144,0,78144,70,30,GM,DL,West,3,30gm,4,7/1/2017
F0033,AHMEDABAD,2017,8,0,NO,6,38,228,0,228,70,30,GM,DL,West,3,30gm,4,8/1/2017
F0033,AHMEDABAD,2017,9,0,NO,1440,43,57795,0,57795,70,30,GM,DL,West,3,30gm,4,9/1/2017
F0033,AHMEDABAD,2017,11,0,NO,1522,46,64639,0,64639,70,30,GM,DL,West,3,30gm,4,11/1/2017
F0033,AHMEDABAD,2017,12,0,NO,3168,45,136603,0,136603,70,30,GM,DL,West,3,30gm,4,12/1/2017
F0033,AHMEDABAD,2018,1,0,NO,1584,45,68425,0,68425,70,30,GM,DL,West,3,30gm,4,1/1/2018
F0033,AHMEDABAD,2018,2,0,NO,5981,46,258791,0,258791,70,30,GM,DL,West,3,30gm,4,2/1/2018
F0033,AHMEDABAD,2018,3,0,NO,2962,46,128639,0,128639,70,30,GM,DL,West,3,30gm,4,3/1/2018
F0033,AHMEDABAD,2018,4,0,NO,1655,46,70930,0,70930,70,30,GM,DL,West,3,30gm,4,4/1/2018
F0033,AHMEDABAD,2018,5,0,NO,2340,46,99880,0,99880,70,30,GM,DL,West,3,30gm,4,5/1/2018
F0033,AHMEDABAD,2018,6,0,NO,3061,46,123646,0,123646,70,30,GM,DL,West,3,30gm,4,6/1/2018
F0033,AHMEDABAD,2018,7,0,NO,1245,44,49808,0,49808,70,30,GM,DL,West,3,30gm,4,7/1/2018
F0033,AHMEDABAD,2018,8,0,NO,1347,45,54964,0,54964,70,30,GM,DL,West,3,30gm,4,8/1/2018
F0033,AHMEDABAD,2018,9,0,NO,677,46,29324,0,29324,70,30,GM,DL,West,3,30gm,4,9/1/2018
F0033,AHMEDABAD,2018,10,0,NO,2165,46,88203,0,88203,70,30,GM,DL,West,3,30gm,4,10/1/2018
F0033,AHMEDABAD,2018,11,0,NO,581,44,23609,0,23609,70,30,GM,DL,West,3,30gm,4,11/1/2018
F0033,AHMEDABAD,2018,12,0,NO,2186,45,93578,0,93578,70,30,GM,DL,West,3,30gm,4,12/1/2018
F0033,AHMEDABAD,2019,1,0,NO,80,45,3534,0,3534,70,30,GM,DL,West,3,30gm,4,1/1/2019
F0033,AHMEDABAD,2019,2,0,NO,2510,45,111301,0,111301,70,30,GM,DL,West,3,30gm,4,2/1/2019
F0033,AHMEDABAD,2019,3,0,NO,1872,46,83457,0,83457,70,30,GM,DL,West,3,30gm,4,3/1/2019
F0033,AHMEDABAD,2019,4,0,NO,1872,45,83213,0,83213,70,30,GM,DL,West,3,30gm,4,4/1/2019
F0033,AHMEDABAD,2019,5,0,NO,1694,46,75249,0,75249,70,30,GM,DL,West,3,30gm,4,5/1/2019
F0033,AHMEDABAD,2019,6,0,NO,1728,44,76297,0,76297,70,30,GM,DL,West,3,30gm,4,6/1/2019
F0033,AHMEDABAD,2019,7,0,NO,1576,48,74422,0,74422,74.77272727,30,GM,DL,West,3,30gm,4,7/1/2019
F0033,AHMEDABAD,2019,8,0,NO,1240,50,60291,0,60291,75,30,GM,DL,West,3,30gm,4,8/1/2019
F0033,AHMEDABAD,2019,9,0,NO,1449,47,67126,0,67126,75,30,GM,DL,West,3,30gm,4,9/1/2019
F0033,AHMEDABAD,2019,10,0,NO,1845,48,75773,0,75773,75,30,GM,DL,West,3,30gm,4,10/1/2019
F0033,AHMEDABAD,2019,11,0,NO,1570,50,64097,0,64097,75,30,GM,DL,West,3,30gm,4,11/1/2019
F0033,AHMEDABAD,2019,12,0,NO,2338,49,94742,0,94742,75,30,GM,DL,West,3,30gm,4,12/1/2019
F0033,AHMEDABAD,2020,1,0,NO,2352,51,100564,0,100564,77.08333333,30,GM,DL,West,3,30gm,4,1/1/2020
F0033,AHMEDABAD,2020,2,0,NO,2172,53,93903,0,93903,80,30,GM,DL,West,3,30gm,4,2/1/2020
F0033,BANGALORE,2017,4,0,NO,389,55,20508,0,23482,80,30,GM,DL,South,3,30gm,4,4/1/2017
F0033,BANGALORE,2017,5,0,NO,700,51,32941,1,37690,80,30,GM,DL,South,3,30gm,4,5/1/2017
F0033,BANGALORE,2017,6,0,NO,1102,52,53147,0,60827,79.0625,30,GM,DL,South,3,30gm,4,6/1/2017
F0033,BANGALORE,2017,7,0,NO,1450,42,56843,0,56843,70,30,GM,DL,South,3,30gm,4,7/1/2017
F0033,BANGALORE,2017,8,0,NO,1190,43,48433,0,48433,70.88235294,30,GM,DL,South,3,30gm,4,8/1/2017
F0033,BANGALORE,2017,9,0,NO,814,42,33472,0,33472,70.8,30,GM,DL,South,3,30gm,4,9/1/2017
F0033,BANGALORE,2017,10,0,NO,649,40,25209,0,25209,70,30,GM,DL,South,3,30gm,4,10/1/2017
F0033,BANGALORE,2017,11,0,NO,1814,42,75242,0,75242,70,30,GM,DL,South,3,30gm,4,11/1/2017
F0033,BANGALORE,2017,12,0,NO,1098,43,48135,0,48135,70,30,GM,DL,South,3,30gm,4,12/1/2017
F0033,BANGALORE,2018,1,0,NO,1815,44,77637,0,77637,70,30,GM,DL,South,3,30gm,4,1/1/2018
F0033,BANGALORE,2018,2,0,NO,603,44,26371,0,26371,70,30,GM,DL,South,3,30gm,4,2/1/2018
F0033,BANGALORE,2018,3,0,NO,1078,44,47509,0,47509,70,30,GM,DL,South,3,30gm,4,3/1/2018
